Company Name,ESG Rating Website 1,ESG Rating Website 2
Apeloa Pharmaceutical Co.,15,42.5
Aperam,54,22.6
APi Group,13,24
APL Apollo Tubes,32,27.7
Apollo Global Management,32,25.1
Apollo Hospitals Enterprise,26,27.9
Apollo Tyres,39,18.1
Appen,38,16.1
Apple,27,17.2
Apple Hospitality REIT,27,19.3
Applied Industrial Technologies,20,24.1
Applied Materials,51,12.7
AppLovin,21,18.9
Applus Services,60,13.3
AptarGroup,47,12.3
Ar̤elik,86,11.6
Arab National,12,30.9
Arabian Centres,22,26.3
Arakawa Chemical Industries,40,29.7
Arbonia,24,26.7
ARC Resources,40,36.3
Arcadis,58,15.3
ArcBest,27,16.9
ArcelorMittal,41,37.8
Arch Capital Group,35,22.5
Archer-Daniels-Midland,53,31.8
Archrock,34,26
Ardagh Metal Packaging,39,15.1
AREIT,42,11
Ares Management,25,19.8
argenx,27,27.3
Argo Group International Holdings,47,23.3
Arista Networks,39,16.7
Aristocrat Leisure,36,18.3
Aritzia,31,16
Arkema,77,20.3
ARKO,22,50
Armstrong World Industries,43,21.2
Aroundtown,57,12.1
Array Technologies,26,15.7
Arrow Electronics,32,9.1
Arrowhead Pharmaceuticals,23,26.1
Arthur J. Gallagher &,30,21.2
Arvida Group,37,26.6
Arvind,55,17.4
AS ONE,21,15.5
Asahi Group Holdings,51,20.6
Asahi Intecc Co.,30,19.6
Asahi Kasei,45,23.3
Asana,26,20.9
Asbury Automotive Group,18,14.2
Ascendis Pharma,27,27.8
ASE Technology Holding Co.,92,23.5
Aselsan Elektronik Sanayi ve Ticaret,45,25.1
ASGN,44,8
Ashland,36,32.4
Ashok Leyland,38,14.5
Ashtead Group,43,17.2
Ashtrom Group,6,34
Asia Cement,30,26.1
Asia Cement (China) Holdings,30,30.9
Asian Paints,64,25.3
ASICS,61,16.5
ASKA Pharmaceutical Holdings Co.,21,36.4
ASM International,68,13.2
Asmedia Technology,49,15.9
ASML Holding,82,9.6
ASMPT,43,22.4
ASOS,34,21.1
ASPEED Technology,38,16.8
Aspen Pharmacare Holdings,48,26.3
Aspen Technology,22,18.8
ASR Nederland,78,9.6
Assa Abloy,50,18.7
Asseco Poland,16,25.8
Assicurazioni Generali,82,17.7
Associated,35,26.6
Associated British Foods,37,31.1
Assura,40,13.4
Assurant,40,23.9
Assured Guaranty,31,24.2
Astellas Pharma,58,19
Aston Martin Lagonda Global Holdings,36,31.9
ASUSTek Computer,70,15.5
ASX,46,20
Asymchem Laboratories (Tianjin) Co.,29,20.2
AT&T,68,22.9
Atacaḍo,21,21.5
ATCO,27,27.8
"Benesse Holdings, Inc.",45,13.7
Berkeley Group Holdings Plc,59,14.1
"Berry Global Group, Inc.",61,16.1
Bertelsmann SE & Co. KGaA,43,7.8
"Best Buy Co., Inc.",52,15.9
"Betta Pharmaceuticals Co., Ltd.",19,36.7
Better Collective A/S,27,21
"Beyond Meat, Inc.",9,40.3
"BGF Retail Co., Ltd.",55,25
"BGI Genomics Co., Ltd.",29,20.4
Big Yellow Group Plc,42,9.5
Bilfinger SE,37,16.2
"Bill Holdings, Inc.",23,23.2
Billerud AB,71,14.5
BioNTech SE,47,24.1
"Bio-Rad Laboratories, Inc.",46,17.4
BIPROGY Inc.,66,16.4
